SECTOR;SECTOR_ACT
01;AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA
02;AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA
03;AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA
05;EXPLOTACIÓN DE MINAS Y CANTERAS
06;EXPLOTACIÓN DE MINAS Y CANTERAS
07;EXPLOTACIÓN DE MINAS Y CANTERAS
08;EXPLOTACIÓN DE MINAS Y CANTERAS
09;EXPLOTACIÓN DE MINAS Y CANTERAS
10;INDUSTRIA MANUFACTURERA
11;INDUSTRIA MANUFACTURERA
12;INDUSTRIA MANUFACTURERA
13;INDUSTRIA MANUFACTURERA
14;INDUSTRIA MANUFACTURERA
15;INDUSTRIA MANUFACTURERA
16;INDUSTRIA MANUFACTURERA
17;INDUSTRIA MANUFACTURERA
18;INDUSTRIA MANUFACTURERA
19;INDUSTRIA MANUFACTURERA
20;INDUSTRIA MANUFACTURERA
21;INDUSTRIA MANUFACTURERA
22;INDUSTRIA MANUFACTURERA
23;INDUSTRIA MANUFACTURERA
24;INDUSTRIA MANUFACTURERA
25;INDUSTRIA MANUFACTURERA
26;INDUSTRIA MANUFACTURERA
27;INDUSTRIA MANUFACTURERA
28;INDUSTRIA MANUFACTURERA
29;INDUSTRIA MANUFACTURERA
30;INDUSTRIA MANUFACTURERA
31;INDUSTRIA MANUFACTURERA
32;INDUSTRIA MANUFACTURERA
33;INDUSTRIA MANUFACTURERA
35;"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE
ACONDICIONADO"
36;"SUMINISTRO DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO"
37;"SUMINISTRO DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO"
38;"SUMINISTRO DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO"
39;"SUMINISTRO DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO"
40;CONSTRUCCIÓN
45;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
48;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
49;TRANSPORTE Y ALMACENAMIENTO
50;TRANSPORTE Y ALMACENAMIENTO
51;TRANSPORTE Y ALMACENAMIENTO
52;TRANSPORTE Y ALMACENAMIENTO
53;TRANSPORTE Y ALMACENAMIENTO
55;ALOJAMIENTO Y SERVICIOS DE COMIDAS
56;ALOJAMIENTO Y SERVICIOS DE COMIDAS
58;INFORMACIÓN Y COMUNICACIÓN
59;INFORMACIÓN Y COMUNICACIÓN
60;INFORMACIÓN Y COMUNICACIÓN
61;INFORMACIÓN Y COMUNICACIÓN
62;INFORMACIÓN Y COMUNICACIÓN
63;INFORMACIÓN Y COMUNICACIÓN
64;ACTIVIDADES FINANCIERAS Y DE SEGUROS
65;ACTIVIDADES FINANCIERAS Y DE SEGUROS
66;ACTIVIDADES FINANCIERAS Y DE SEGUROS
68;ACTIVIDADES INMOBILIARIAS
69;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS
70;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS
71;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS
72;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS
73;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS
74;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS
75;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS
77;ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
78;ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
79;ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
80;ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
81;ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
82;ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
83;"ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURO SOCIAL OBLIGATORIO"
84;"ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURO SOCIAL OBLIGATORIO"
85;ENSEÑANZA
86;SALUD HUMANA Y SERVICIOS SOCIALES
87;SALUD HUMANA Y SERVICIOS SOCIALES
88;SALUD HUMANA Y SERVICIOS SOCIALES
90;ARTES, ENTRETENIMIENTO Y RECREACIÓN
91;ARTES, ENTRETENIMIENTO Y RECREACIÓN
92;ARTES, ENTRETENIMIENTO Y RECREACIÓN
93;ARTES, ENTRETENIMIENTO Y RECREACIÓN
94;OTRAS ACTIVIDADES DE SERVICIOS
95;OTRAS ACTIVIDADES DE SERVICIOS
96;OTRAS ACTIVIDADES DE SERVICIOS
97;"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES DE
PERSONAL DOMÉSTICO"
98;ACTIVIDADES DE LOS HOGARES COMO PRODUCTORES DE BIENES O SERVICIOS PARA USO PROPIO
99;"ACTIVIDADES DE ORGANIZACIONES Y ORGANISMOS
EXTRATERRITORIALES"
